coin_page,coin_page-href,ric_id,personality,date,mint,ob_legend,ob_type,re_legend,re_type,brickendonbury,bristol,caistor_by_yarmouth,cambridge,darfield,darfield_2,denbighshire,east_england,edston_peebles_shire,falkirk,muswell_hill,shapwick_villa,st_mary_cray,stevenage,region_a,ain,baden_baden,clavier_3,eauze,eining,elliginies_saint_anne,kempten_lindenberg_3,kirchmatting,koln,mainz,nanterre,niederaschau,pfunz,viuz_faverges,welzheim,wiesbach,wiggensbac,region_b,via_tritone,vicenza,region_c,barza,borgondi,ercsi,francesti,ghirisa,gracic,gunzenhausen,kongen,leskovec,linsberg,muntenesti,nicolaevo,plevna,postojna,reka_devnia,rustschuk,singidunum,taga,uskub,region_d,dura_hoards _3_and_4,haydere,kecel,south_east_turkey,syria,region_e
"1512","http://web3.forest.usf.edu/main/other/severan/coins/1512/","SA RIC 272","Severus Alexander","228","Eastern","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped.","PONTIF MAX TR P VII COS II P P","Roma seated left, holding Victory and spear; behind her, shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"113","http://web3.forest.usf.edu/main/other/severan/coins/113/","C RIC 99","Caracalla","207","Rome","ANTONINVS PIVS AVG","Head, laureate, right.","PONTIFEX TR P X COS II","Aesculapius, naked, standing front, between two snakes, leaning right hand on serpent wreathed wand, left hand on hip, in distyle temple.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","http://web3.forest.usf.edu/main/other/severan/coins/47/","C RIC 43","Caracalla","UNDATED (199-200)","Rome","ANTONINVS AVGVSTVS","Bust, laureate, draped, right.","SECVRIT ORBIS","Securitas seated right by altar, propping head on right hand and holding sceptre.","0","0","0","0","0","0","0","2","0","0","0","2","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","8","0","0","0","1","0","1"
"890","http://web3.forest.usf.edu/main/other/severan/coins/890/","C RIC 387","Julia Domna","211-217","Rome","IVLIA PIA FELIX AVG","Bust, draped right, with hair elaborately waved in ridges and turned up low at the back: diademed on crescent.","VENERI GENETRICI","Venus standing left, extending right hand open and holding sceptre.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0"
"1395","http://web3.forest.usf.edu/main/other/severan/coins/1395/","SA RIC 158","Severus Alexander","UNDATED","Rome","IMP C M AVR SEV ALEXAND AVG","Head right, laureate bust draped and cuirassed.","MARS VLTOR","Mars advancing right, holding spear and shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","http://web3.forest.usf.edu/main/other/severan/coins/305/","C RIC 269","Caracalla","215","Rome","ANTONINVS PIVS AVG GERM","Bust, laureate, draped, cuirassed, right.","P M TR P XVIII COS IIII P P","Victory seated right on cuirass, holding shield on knees: behind, on ground, shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"951","http://web3.forest.usf.edu/main/other/severan/coins/951/","SS RIC 647","Julia Domna","196-202","Eastern","IVLIA AVGVSTA","Bust of Julia Domna, draped, right, hair waved and coiled at back.","VENVS VICTRIX","Venus, bare to waist, standing left, holding helmet and palm and leaning on column: at feet, shield.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2132","http://web3.forest.usf.edu/main/other/severan/coins/2132/","SS RIC 257","Septimius Severus","UNDATED 202-210","Rome","SEVERVS PIVS AVG","Head, laureate, right.","COS III LVDOS SAECVL FEC","Liber (Bacchus) standing right, holding cup and thrysus, facing Hercules, standing left, holding club and lion-skin: by Liber, leopard.","0","1","0","0","0","0","0","0","0","0","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1"
"1768","http://web3.forest.usf.edu/main/other/severan/coins/1768/","SS RIC 472","Septimius Severus","196-197","Eastern","L SEPT SEV PERT AVG IMP VIII","Head, laureate, right","BONA SPES","Spes advancing left, holding flower and lifting skirt","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"304","http://web3.forest.usf.edu/main/other/severan/coins/304/","C RIC 268","Caracalla","215","Rome","ANTONINVS PIVS AVG GERM","Head, laureate, right.","P M TR P XVIII COS IIII P P","Pax standing left, holding branch and sceptre.","0","0","0","0","0","0","0","12","0","0","0","13","0","1","26","0","1","0","0","0","0","0","1","2","0","0","0","0","0","2","0","0","6","3","0","3","3","0","0","3","0","0","1","0","0","0","0","1","0","0","81","0","0","0","1","90","0","1","0","1","0","2"
