coin_page,coin_page-href,id_number,region,city,cabinet,catref,date_range,local_date,magistrate,alliance_coin,ob_inscription,ob_type,re_inscription,re_type,metal,average_diameter,average_die_axis,average_weight,notes,obverse-src,reverse-src,monogram_ob1-src,monogram_re1-src,monogram_ob2-src,monogram_re2-src
"2321","http://web3.forest.usf.edu/main/other/severan/spc/2321/","2321","Asia Minor","Tarsus","France","1541","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC Π Π","Bust of Caracalla r., dressed as a demiurge","On the circumference, ANTΩΝΕΙΝIANHC CEVHΡ AΔΡΙΑ ΤΑΡCOV ΓΒ","Elephant l.; above, crown of the demiurge decorated with the letters O M A K K","AE","","","23.36","Cf. n. 1515.","http://web3.forest.usf.edu/main/other/severan/images/db/2321a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2321f.jpg"
"2309","http://web3.forest.usf.edu/main/other/severan/spc/2309/","2309","Asia Minor","Tarsus","France","1529","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩ[ΝΕΙΝOC] Π Π","Bust of Caracalla r., dressed as a demiurge","[ANTΩΝΙΑΝΗC CEV AΔΡ MH] TAPCOV AMK ΓΒ","Caracalla holding a Nike, holding a scepter, standing in a quadriga galloping face forward","AE","","","17.39","Obv. Countermark : 1) (symbol in field for Monogram OB1 below), (Howgego 681); 2) head r., wearing a calathus (Sandan?). - Same coin as SNG Levante 1062.","http://web3.forest.usf.edu/main/other/severan/images/db/2309a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2309f.jpg"
"1976","http://web3.forest.usf.edu/main/other/severan/spc/1976/","1976","Asia Minor","Smyrna","Fitzwilliam","4584","","","","","ΑυτΚΜΑυρ Αντωνεινος","Caracalla","Σμυρ - - -","Tyche; on head, calathus; in l., cornucopiae; in r., rudder","AE","","6","3.34","Leake, Asia, p. 4. 5(to Aegeae Cilic.); Sotheby 19:vii:1841, 196, Steuart.","http://web3.forest.usf.edu/main/other/severan/images/db/1976a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1976f.jpg"
"2445","http://web3.forest.usf.edu/main/other/severan/spc/2445/","2445","Asia Minor","Αnazarbus","France","2088","229/230","248","","","AVT K M A CEO AΛΕΞΑΝΔΡΟC","Radiate bust of Severus Alexander r.","ΑΝΑΖ ΕΝΔΟΞ ΒΓ ΜΗΤΡΟ ΕΤ ΗΜC","Nike holding a trophy, standing in a biga moving at a walking pace r.","AE","","","15.21","Ziegler, Anazarbos, 533, 3.","http://web3.forest.usf.edu/main/other/severan/images/db/2445a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2445f.jpg"
"2455","http://web3.forest.usf.edu/main/other/severan/spc/2455/","2455","Asia Minor","Αnazarbus","France","2098","230/231","249","","","ΙΟV ΜΑΜΕΑ CEB","Bust of Julia Mamaea r., on a crescent; legend","ANAZENΔΟΞ Μ(symbol)Ρ ΓΒ","Facade of a decastyle temple","AE","","","10.59","Symbol in Rev. legend found below in Monogram RE1
Ziegler, Anazarbos, 513, 2.","http://web3.forest.usf.edu/main/other/severan/images/db/2455a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2455f.jpg"
"2265","http://web3.forest.usf.edu/main/other/severan/spc/2265/","2265","Asia Minor","Tarsus","France","1485","198-217","","","","M AVPHΛΙΟC A[NTΩ]NEINO[C CEB]","Youthful laur. bust of Caracalla R.","On the circumference, [K]OIN[OC] TΩΝ ΤΡΙΩΝ [ΕΠΑΡΧΕΙΩΝ] ΤΑΡCEΩΝ","Crown of Cilicarch decorated with seven imperial heads and ΓΒ","AE","","","19.32","Chandon 1079.","http://web3.forest.usf.edu/main/other/severan/images/db/2265a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2265f.jpg"
"2316","http://web3.forest.usf.edu/main/other/severan/spc/2316/","2316","Asia Minor","Tarsus","France","1536","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC Π Π","Bust of Caracalla r., dressed as a demiurge","ΤΑΡCOV MHTPOΠΟΛΕ ΓΒ ΑΜΚ","Agnostic crown with two palms, inscribed OIKOVMENI... and placed on a table whose legs end in lion paws","AE","","","13.95","Wadd. 4642. - Ziegler, Prestige 24, A18.","http://web3.forest.usf.edu/main/other/severan/images/db/2316a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2316f.jpg"
"2266","http://web3.forest.usf.edu/main/other/severan/spc/2266/","2266","Asia Minor","Tarsus","France","1486","198-217","","","","M AVPHΛΙΟC A[NTΩ]NEINO[C CEB]","Youthful laur. bust of Caracalla R.","AΔΡ CEVHPI... [TAP]COV MHTPOΠΟΛΕΩC ΓΒ","Nike in motion to L., holding a crown and a palm; legend.","AE","","","12.64","","http://web3.forest.usf.edu/main/other/severan/images/db/2266a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2266f.jpg"
"2709","http://web3.forest.usf.edu/main/other/severan/spc/2709/","2709","Asia Minor","Anazarbus","Levante","1432","218-222","","","","AVT K M AV ANTΩΝΙΝΟC","Head of Elagabalus, radiate","ANAZ ENΔΟΞΟV KMA ΓΒ","Capricorn on globe","AE","","","4.36","","http://web3.forest.usf.edu/main/other/severan/images/db/2709a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2709f.jpg"
"2422","http://web3.forest.usf.edu/main/other/severan/spc/2422/","2422","Asia Minor","Αnazarbus","France","2065","218-222","","","","AV K M AV ANTΩΝΕΙΝΟC CE","Laur. bust of Elagabalus r.","AΔΡΙΑΝΙΟC OIKOVMENIKOC ANAZAPBOV AMK","Agnostic crown placed on a table whose legs are in the shape of lion paws; legend","AE","","","12.41","Wadd. 4124. - Ziegler, Prestige, 33, B 7; id., Anazarbos, 419, 1.","http://web3.forest.usf.edu/main/other/severan/images/db/2422a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2422f.jpg"
"2576","http://web3.forest.usf.edu/main/other/severan/spc/2576/","2576","Asia Minor","Tarsus","Levante","1041","198-217","","","","AV Κ M AVP CEOVHP ANTΩΝΙΝOC CE","Head of Caracalla, radiate","TAPCOV MHTPOΠΟ","Nike, holding wreath and palm-branch","AR","","","4.56","III. Silver coinage with the title ΑΝΤΩΝ(ΕΙΝ)ΙΑΝΗ, abbreviation of the new city titulature, AMK, mention of the gifts and privileges; to be connected with Caracalla’s presence in Tarsus in 215. 
Ex M.&.M 41, 581.","http://web3.forest.usf.edu/main/other/severan/images/db/2576a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2576b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2576c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2576d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2576e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2576f.jpg"
"2589","http://web3.forest.usf.edu/main/other/severan/spc/2589/","2589","Asia Minor","Tarsus","Levante","1054","198-217","","","","AVT ΚAI M AVP CEVHPOC ANTΩΝEΙΝOC CEB ΠΠ","Head of Caracalla, laur.; below, star","ΑΝΤΩΝΙΑΝΗC CEVH AΔΡ ΜΗΤ ΤΑΡCOV ΑΜΚ ΓΒ","Sandan on horned animal, holding wreath and r. arm raised","AE","","","19.03","","http://web3.forest.usf.edu/main/other/severan/images/db/2589a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2589b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2589c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2589d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2589e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2589f.jpg"
"2598","http://web3.forest.usf.edu/main/other/severan/spc/2598/","2598","Asia Minor","Tarsus","Levante","1063","198-217","","","","AVT ΚAI M AVP CEVHPOC ANTΩΝEΙΝOC CEB Π Π","Bust of Caracalla, wearing garments and crown of demiourgos","ANTΩΝΕΙΝΙΑΝΗC CEVHP AΔΡ ΑΜΚ ΤΑΡCOV MHTPOΠΟΛΕWC ΓΒ","Caraclla in toga, extending r. arm towards river-god Kydnos reclining, resting on overturned vase and holding globe; at l. reed","AE","","","20.23","Ex Waddell I, 523.","http://web3.forest.usf.edu/main/other/severan/images/db/2598a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2598b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2598c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2598d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2598e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2598f.jpg"
"2353","http://web3.forest.usf.edu/main/other/severan/spc/2353/","2353","Asia Minor","Tarsus","France","1573","222-235","","","","AVT K M AVP CEV AΛΕΞΑΝΔΡΟC CEB Π Π","Laur. bust of Severus Alexander r.","ΑΛΕΞΑΝ ΑΝΤΩΝΙ CEVH AΔΡΙΑ ΜΗΤΡΟ ΤΑΡCEΩΝ ΑΜΚ ΓΒ ΠΑΤΡΩΟC","A kneeling bull in front of an altar decorated with garland; behind, two personages standing in front of a column supporting a nude statue of Apollo Lykeios, holding two wolves; to r., Perseus, semi-nude, standing l. holding a patera and a harp; to l.","AE","","","23.57","Wadd. 4655. - Same coins as SNG Levante 1087.
ΠΑΤΡΩΟC (= ancestral) is the epithet of Apollo in Tarsus; cf. Robert, <>, 88sq.","http://web3.forest.usf.edu/main/other/severan/images/db/2353a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2353b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2353c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2353d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2353e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2353f.jpg"
"2602","http://web3.forest.usf.edu/main/other/severan/spc/2602/","2602","Asia Minor","Tarsus","Levante","1067","198-217","","","","AVT ΚAI M AVP.CEVHPOC ANTΩΝEΙΝOC ΠΠ","Bust of Caracalla, wearing garments and crown of demiourgos","ANTΩΝΕΙΝEΙΑΝΗC CEVH AΔ ΤΑΡCOV CEIT","Galley","AE","","","17.67","","http://web3.forest.usf.edu/main/other/severan/images/db/2602a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2602b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2602c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2602d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2602e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2602f.jpg"
"2703","http://web3.forest.usf.edu/main/other/severan/spc/2703/","2703","Asia Minor","Anazarbus","Levante","1426","218-222","","","","AVT K M A ANTΩΝΕΙΝΟC","Bust of Elagabalus, laur.","ANAZ MHTPOΠO ΑΜΚ ΓΒ","Triptolemos, sowing, in biga drawn by two winged serpents","AE","","","9.56","","http://web3.forest.usf.edu/main/other/severan/images/db/2703a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2703b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2703c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2703d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2703e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2703f.jpg"
"2267","http://web3.forest.usf.edu/main/other/severan/spc/2267/","2267","Asia Minor","Tarsus","France","1487","198-217","","","","M AVPHΛΙΟC A[NTΩ]NEINO[C CEB]","Youthful laur. bust of Caracalla R.","...ΗΡΙΑΝΗC TAPCOV MHTPOΠΟ ΓΒ","Nike in motion to L., holding a crown and a palm; legend.","AE","","","12.44","Kok 1924, n. 100.","http://web3.forest.usf.edu/main/other/severan/images/db/2267a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2267b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2267c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2267d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2267e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2267f.jpg"
"2342","http://web3.forest.usf.edu/main/other/severan/spc/2342/","2342","Asia Minor","Tarsus","France","1562","218-222","","","","AVT KAI M AVP ANTΩNEINOC","Laur. head of Elagabalus r.; above, a star","On the circumference, TAPCOV THC MHTPOΠΟΛΕ ΓΒ; ΔΗΜΙ","Crown of the demiurge inscribed with ΔΗΜΙ","AE","","","8.14","","http://web3.forest.usf.edu/main/other/severan/images/db/2342a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2342b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2342c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2342d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2342e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2342f.jpg"
"2304","http://web3.forest.usf.edu/main/other/severan/spc/2304/","2304","Asia Minor","Tarsus","France","1524","198-217","","","","AVT KAI M AVP CEOVHPOC ANTΩΝΕΙΝOC CEB Π Π","Bust of Caracalla l., dressed as a demiurge","ΚΟΙΝΟΒΟVΛΙΟΝ ΕΛΕVΘΕΡΟΝ ΤΑΡCEΩΝ","Athena sitting l., leaning on a shield, depositing her vote in an urn placed on an altar","AR","","","6.13","Wadd. 4640.","http://web3.forest.usf.edu/main/other/severan/images/db/2304a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2304b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2304c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2304d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2304e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2304f.jpg"
"2257","http://web3.forest.usf.edu/main/other/severan/spc/2257/","2257","Asia Minor","Tarsus","France","1477","193-211","","","","AVT KAI Λ CEΠ CEVHPOC ΠEP Π Π","Laur. bust of Septimius Severus to R.","Around and on the circumference, ΕΠΙΝΕΙΚΙΑ ΟΡΟΙC ΚΙΛΙΚΩΝ; ΕΝ ΚΟΔΡΙΓΕC CEVHPEIA ΑΔΡΙ CEVHPIANHC TAPCOV MHTPOΠΟΛΕΩC ΓΒ","Agnostic crown inscribed, OΛVMΠΙΑ","AE","","","23.45","Ziegler, Prestige 22. A8","http://web3.forest.usf.edu/main/other/severan/images/db/2257a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2257b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2257c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2257d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2257e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2257f.jpg"
"2314","http://web3.forest.usf.edu/main/other/severan/spc/2314/","2314","Asia Minor","Tarsus","France","1534","198-217","","","","[AV]T K M AVP CEVHP ANT...ΙΝO...  Π Π","Bust of Caracalla l., dressed as a demiurge","ANTΩNI... VHP AΔΡ ΜΗΤΡ ΤΑΡCOV AMK  ΓΒ","Apollo standing l., a quiver on his shoulder, holding a bust of Caracalla and a chlamus","AE","","","19.48","Wadd. 4649.","http://web3.forest.usf.edu/main/other/severan/images/db/2314a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2314b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2314c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2314d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2314e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2314f.jpg"
"2625","http://web3.forest.usf.edu/main/other/severan/spc/2625/","2625","Asia Minor","Tarsus","Levante","1090","222-235","","","","A K M A CEΟV.AΛΕΞΑΝΔΡΟC CEB Π Π","Bust of Severus Alexander, wearing garments and crown of demiourgos","ΔWPEA TAPC MHTPOΠ ΑΜΚ ΓΠΒ","Galley; below, two dolphins around demiourgos crown","AE","","","19.86","Obv. same die. Rev. ΔWPEA TAPC MHTPOΠ ΑΜΚ ΓΠΒ; the Π between Γ-Β stands for ΠΡΟΚΑΘΕΞΟΜΕΝΗ (= presiding over the three Eparchias); cf. Weiss, Abkurzungen; for ΔWΠΕΑ (grain gift) and ΔΗΜΙΟΡΓΙΑ (of S. Alexander during his presence in 231), as repetition of C","http://web3.forest.usf.edu/main/other/severan/images/db/2625a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2625b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2625c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2625d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2625e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2625f.jpg"
"2724","http://web3.forest.usf.edu/main/other/severan/spc/2724/","2724","Asia Minor","Anazarbus","Levante","1447","222-235","","","","A K ΑΛΕΞΑΝΔΡΟC","Head of Severus Alexander, laur.","ANAZ MHTPOΠ","Laurel-wreath within which, AMK ΓΒ","AE","","","3.26","","http://web3.forest.usf.edu/main/other/severan/images/db/2724a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2724b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2724c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2724d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2724e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2724f.jpg"
"2263","http://web3.forest.usf.edu/main/other/severan/spc/2263/","2263","Asia Minor","Tarsus","France","1483","198-217","","","","AVT KAIC M AVP ANTΩNEINOC CEB","Youthful laur. bust of Caracalla R., to R. a cluster of grapes","AΔP CEVHPIANHC TAPCOV MHTPOΠΟΛΕΩC ΓΒ","Caracalla and Plautilla standing, face to face, shaking hands R.","AE","","","21.99","","http://web3.forest.usf.edu/main/other/severan/images/db/2263a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2263b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2263c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2263d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2263e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2263f.jpg"
"2593","http://web3.forest.usf.edu/main/other/severan/spc/2593/","2593","Asia Minor","Tarsus","Levante","1058","198-217","","","","AVT KAI M AVP CEOVHPOC ANTΩΝΕΙΝOC CEB ΠΠ","Bust of Caracalla, wearing garments and crown of demiourgos","ΑΝΤΩΝΙΑΝΗC CEVHΡ AΔΡ ΜΗΤ ΤΑΡCOV ΑΜΚ ΓΒ","Caracalla, wearing toga (of demiourgos?), r. arm over lit altar","AE","","","19.54","","http://web3.forest.usf.edu/main/other/severan/images/db/2593a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2593b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2593c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2593d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2593e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2593f.jpg"
"2416","http://web3.forest.usf.edu/main/other/severan/spc/2416/","2416","Asia Minor","Αnazarbus","France","2059","217-218","","","","M OΠ ΑΝΤΩΝΙ ΔΙΑΔΟVMENIANOC K","Bust of Diadumenianus r.","ΑΝΑΖΑΡΒΟV ΜΗΤΡΟΠΟΛΕ ΓΒ","Nike, holding a trophy, in a biga moving at a walking pace to r.","AE","","","14.22","Wadd. 4133. - Ziegler, Anazarbos, 331, 3.","http://web3.forest.usf.edu/main/other/severan/images/db/2416a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2416b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2416c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2416d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2416e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2416f.jpg"
"2306","http://web3.forest.usf.edu/main/other/severan/spc/2306/","2306","Asia Minor","Tarsus","France","1526","198-217","","","","AVT KAI M AVP CEOVHPOC ANTΩΝΕΙΝOC CEB Π Π","Bust of Caracalla r., dressed as a demiurge","ANTΩΝΙΑΝΗC CEV AΔΡ MHT TAPCOV CEITOV AMK ΓΒ","Galley with a sail l.","AE","","","19.65","Obv. Same coins as SNG Levante 1057.","http://web3.forest.usf.edu/main/other/severan/images/db/2306a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2306b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2306c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2306d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2306e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2306f.jpg"
"2615","http://web3.forest.usf.edu/main/other/severan/spc/2615/","2615","Asia Minor","Tarsus","Levante","1080","218-222","","","","AVT KAI M AVP ANTΩΝΕΙΝOC CEB","Head of Elagabalus, laur.","TAPCOV  MHTPOΠΟΛ ΓΒ","Demiourgos crown within which; ΔΗΜΙ","AE","","","9.67","","http://web3.forest.usf.edu/main/other/severan/images/db/2615a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2615b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2615c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2615d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2615e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2615f.jpg"
"2499","http://web3.forest.usf.edu/main/other/severan/spc/2499/","2499","Asia Minor","Anazarbus","Righetti","1502","218-222","","","","AVT K M AV - ANTONINOC","Bust of Elagabalus with halo, r.","ΑΝ - ΑΖ/ΑΡΒΟV/ΓΒ","Round shield between two Capricorns","AE","17.7 mm","11","4.163 g","SNG Levante 1433;","http://web3.forest.usf.edu/main/other/severan/images/db/2499a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2499b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2499c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2499d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2499e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2499f.jpg"
"2621","http://web3.forest.usf.edu/main/other/severan/spc/2621/","2621","Asia Minor","Tarsus","Levante","1086","218-222","","","","ΙΟVΛΙΑΝ ΚΟΡΝΗΛΙΑΝ ΠΑVΛΑΝ CEB","Bust of Julia Paula","TAPCOV THC MHTPOΠΟΛΕΩ ΓΒ ΑΜΚ and star","Elagabalus and Paula confronted, grasping hand","AE","","","11.41","","http://web3.forest.usf.edu/main/other/severan/images/db/2621a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2621b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2621c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2621d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2621e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2621f.jpg"
"2278","http://web3.forest.usf.edu/main/other/severan/spc/2278/","2278","Asia Minor","Tarsus","France","1498","198-217","","","","AV K M AVP CEOVHP ANTΩΝΙΝOC CE","Laur. head of Caracalla R.; legend","TVXH TAPCOV MHT AMK","Tyche wearing a turreted crown and veil, holding corn-ears, sitting L. on rocks, the river god Kydnos swims at her feet","AR","","","5.90","","http://web3.forest.usf.edu/main/other/severan/images/db/2278a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2278b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2278c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2278d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2278e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2278f.jpg"
"2319","http://web3.forest.usf.edu/main/other/severan/spc/2319/","2319","Asia Minor","Tarsus","France","1539","198-217","","","","AVT KAI M AVP CEVHPOC ANTΩΝΕΙΝOC Π Π","Bust of Caracalla r., dressed as a demiurge","ANTΩΝΕΙΝIANHC CEVH [AΔ] ΤΑΡ[COV] AMK ΓΒ","Perseus, nude, standing r., holding a harp and Heracles, nude, standing l., holding a club and a lion skin;  they both hold the bust of Caracalla","AE","","","14.33","The characters represent the two traditional founders of the city honoring Caracalla as the new founder of Tarsus. - Same coins as SNG Levante 1069.","http://web3.forest.usf.edu/main/other/severan/images/db/2319a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2319b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2319c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2319d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2319e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2319f.jpg"
