coin_page,coin_page-href,id_number,region,city,cabinet,catref,date_range,local_date,magistrate,alliance_coin,ob_inscription,ob_type,re_inscription,re_type,metal,average_diameter,average_die_axis,average_weight,notes,obverse-src,reverse-src,monogram_ob1-src,monogram_re1-src,monogram_ob2-src,monogram_re2-src
"2060","http://web3.forest.usf.edu/main/other/severan/spc/2060/","2060","Asia Minor","Ephesus","Hunterian","1722","222-235","","","Convention of Ephesus","IOYΛΙΑ  ΜΑΜΑΙΑ CEB","Draped bust of Julia Mamaea r.","APTEMIC ΕΦΕCΙA","Cult statue of Artemis between two stags","AE","","6","10.34","BMC 327
M. 2, 335, 61","http://web3.forest.usf.edu/main/other/severan/images/db/2060a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2060b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2060c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2060d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2060e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2060f.jpg"
"2410","http://web3.forest.usf.edu/main/other/severan/spc/2410/","2410","Asia Minor","Αnazarbus","France","2053","217-218","","","","AVT K M OΠ CEV MAKPEINOC CEB","Laur. head of Macrinus r.","ANAZAPBOV MHTPOΠΟΛΕ... ΓΒ","Tyche sitting l. on a rock, receiving a trophy of Nike standing r.; at her feet swims the  river god Pyramos","AE","","","11.24","Wadd. 4130. - Obv. Same coin as SNG Levante 1416. - Ziegler, Anazarbos, 327, 1.","http://web3.forest.usf.edu/main/other/severan/images/db/2410a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2410b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2410c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2410d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2410e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2410f.jpg"
"2601","http://web3.forest.usf.edu/main/other/severan/spc/2601/","2601","Asia Minor","Tarsus","Levante","1066","198-217","","","","AVT.ΚAI M AVP CEVHPOC ANTΩΝEΙΝOC CEB Π Π","Bust of Caracalla, wearing garments and crown of demiourgos","ANTΩΝΙΑΝΗC CEVH AΔΡ ΜΗΤ ΤΑΡCOV ΑΜΚ ΓΒ; CEIT...","Galley","AE","","","18.97","= Franke, Kleinasien, 223 (were mistakenly indicated as SNG v.Aulock 6015).","http://web3.forest.usf.edu/main/other/severan/images/db/2601a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2601b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2601c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2601d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2601e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2601f.jpg"
"1974","http://web3.forest.usf.edu/main/other/severan/spc/1974/","1974","Asia Minor","Smyrna","Fitzwilliam","4582","","","","","ΑΚΑΣε ΣεουηροςΠ","Septimius Severus","Επι ΚλΣτρατονεικουΣμυρναι ων","Emperor, wearing helmet; in l., spear; below, flaming altar; he is crowned by Nike on r., with palm over shoulder, and greeted on l. by Amazon Smyrna, with double axe in l.","AE","","6","24.55","Leake, Suppl. p. 94. I.
Perhaps an Adventus and victory coin of LSS for A.D. 193.","http://web3.forest.usf.edu/main/other/severan/images/db/1974a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1974b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1974c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1974d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1974e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/1974f.jpg"
"2722","http://web3.forest.usf.edu/main/other/severan/spc/2722/","2722","Asia Minor","Anazarbus","Levante","1445","221","","","","M AVP AΛΕΞΑΔΡΟΝ ΚΑΙ CEB (sic)","Bust of Severus Alexander","ANAZ ΕΝΔΟΞ MHTPOΠ...","Demiourgos crown within which, Δ(symbol)ΙΟVPΓΙΑ ΑΝΤΩΝΕΙΝΟV","AE","","","12.08","Obv. Combines the titles of Caesar and Augustus).
Rev. type symbol found below in Monogram RE1","http://web3.forest.usf.edu/main/other/severan/images/db/2722a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2722b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2722c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2722d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2722e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2722f.jpg"
"2336","http://web3.forest.usf.edu/main/other/severan/spc/2336/","2336","Asia Minor","Tarsus","France","1556","217-218","","","","M OΠΕΛ [ΑΝ]ΤΩΝΙΝΟC KAIC","Bust of Diadumenianus r.","TAPCOV MHTPOΠ","Nike moving l., holding a palm and a crown","AR","","","4.06","Wadd 4652.","http://web3.forest.usf.edu/main/other/severan/images/db/2336a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2336b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2336c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2336d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2336e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2336f.jpg"
"2277","http://web3.forest.usf.edu/main/other/severan/spc/2277/","2277","Asia Minor","Tarsus","France","1497","198-217","","","","AV K M AVP CEOVHP ANTΩΝΙΝOC CEB Π Π","Laur. head of Caracalla R.; legend","TVXH TAPCOV MHTPO AMK","Tyche wearing a turreted crown and veil, holding corn-ears, sitting L. on rocks, the river god Kydnos swims at her feet","AR","","","3.26","Wadd. 4639.","http://web3.forest.usf.edu/main/other/severan/images/db/2277a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2277b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2277c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2277d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2277e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2277f.jpg"
"2567","http://web3.forest.usf.edu/main/other/severan/spc/2567/","2567","Asia Minor","Tarsus","Levante","1032","198-217","","","","AVT.KAIC.M AVP ANTWNEINOC CEB","Youthful bust of Caracalla, laur.; r. bunch of grapes (?)","ΑΔΡ CEVHPIANHC TAPCOV MHTPOΠΟΛΕWC ΓΒ","Emperor and Plautilla confronted, grasping hand","AE","","","22.65","I. City-titulature of the reign of S. Severus","http://web3.forest.usf.edu/main/other/severan/images/db/2567a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2567b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2567c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2567d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2567e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2567f.jpg"
"2292","http://web3.forest.usf.edu/main/other/severan/spc/2292/","2292","Asia Minor","Tarsus","France","1512","198-217","","","","AVT KAI M AVP ANTΩΝΕΙΝOC CEB Π Π","Laur. bust of Caracalla r.","TAPCOV MHTPOΠΟ... AMK ΓΒ","Νike holding a palm, standing in a biga drawn by galloping horses l.","AE","","","13.65","","http://web3.forest.usf.edu/main/other/severan/images/db/2292a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2292b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2292c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2292d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2292e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2292f.jpg"
"2050","http://web3.forest.usf.edu/main/other/severan/spc/2050/","2050","Asia Minor","Ephesus","Hunterian","1712","193-217","","","Convention of Ephesus","AYT [    ] POC","Laur. head of Septimius Severus r.","ΕΦΕCΙΩΝ","Humped bull charging, l.","AE","","2","4.13","M. 2, 334, 51","http://web3.forest.usf.edu/main/other/severan/images/db/2050a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2050b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2050c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2050d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2050e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2050f.jpg"
"2622","http://web3.forest.usf.edu/main/other/severan/spc/2622/","2622","Asia Minor","Tarsus","Levante","1087","222-235","","","","AVT K M AVP CEV AΛΕΞΑΝΔΡΟC CEB Π Π","Bust of Severus Alexander, laur.","ΑΛΕΞΑΝ ΑΝΤΩΝΙ CEVH ΑΔΡΙΑ ΜΗΤΡΟ ΤΑΡCEΩΝ ΑΜΚ ΓΒ ΠΑΤΡΩΟC","Humped bull lying before garlanded altar; behind, upper part of two figures (Emperor and Empress?) around tall column with Apollo Lykeios holding wolves; at r. Perseus holding phiale and harpe; at l. Demeter (or priestess); r. arm raised towards cultus st","AE","","","48.51","Ex SNG v.Aulock 6027. ΠΑΤΡΩΟC (= ancestral) is the epithet of Apollo in Tarsus; cf. Robert, Tarsus-Argos, 88 ff.; representation of the foundation sacrifice of the city; cf. also n. 1119 (Gordian) and 1165 (Decius).","http://web3.forest.usf.edu/main/other/severan/images/db/2622a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2622b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2622c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2622d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2622e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2622f.jpg"
"2355","http://web3.forest.usf.edu/main/other/severan/spc/2355/","2355","Asia Minor","Tarsus","France","1575","222-235","","","","AVT K CEOVHPOC AΛΕΞ-ΑΝΔΡΟC Π Π","Laur, bust of Severus Alexander l., with a spear and a shield decorated by Athena and the god Kydnos","ΑΔΡ CEOVH AΛΕΞ ΜΗΤΡ ΤΑΡC AKM ΓΒ","Apollo Lykeios, nude, standing face forward on an omphalos, holding a bow; to l., a wolf leaping toward him","AE","","","26.52","Obv. Same coin as SNG Levante Suppl. 275.","http://web3.forest.usf.edu/main/other/severan/images/db/2355a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2355b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2355c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2355d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2355e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2355f.jpg"
"2704","http://web3.forest.usf.edu/main/other/severan/spc/2704/","2704","Asia Minor","Anazarbus","Levante","1427","218-222","","","","AVT K M A ANTΩΝΕΙΝΟC","Bust of Elagabalus, laur.","ANAZAPBOV MHTPO ΑΜΚ ΓΒ","Nike, trophy over shoulder, riding biga","AE","","","12.24","","http://web3.forest.usf.edu/main/other/severan/images/db/2704a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2704b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2704c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2704d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2704e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2704f.jpg"
"2056","http://web3.forest.usf.edu/main/other/severan/spc/2056/","2056","Asia Minor","Ephesus","Hunterian","1718","218-222","","","Convention of Ephesus","ΑΥΤ Κ Μ ΑΥΡ ΑΝΤΩΝΕΙΝΟC","Laur. bust of Elagabalus r. with cuirass and paludamentum","ΕΦΕCΙΩΝ Δ ΝΕΩΚΟΡΩΝ","Artemis running r., holding bow and plucking arrow from quiver; at feet, hound","AE","","6","9.14","cf. SNG Cop. 447; SNG vA 1906
M. 2, 335, 57","http://web3.forest.usf.edu/main/other/severan/images/db/2056a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2056b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2056c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2056d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2056e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2056f.jpg"
"2315","http://web3.forest.usf.edu/main/other/severan/spc/2315/","2315","Asia Minor","Tarsus","France","1535","198-217","","","","AVT KAI M AVP CEVHPOC ANT...OC CEB Π Π","Bust of Caracalla l., dressed as a demiurge","On the circumference; ΤΑΡCEΩΝ ΜΗΤΡΟ... ΓΒ","Crown of the Cilicarch decorated with ten imperial heads; in the middle, ΟΛV AMK","AE","","","14.88","","http://web3.forest.usf.edu/main/other/severan/images/db/2315a.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2315b.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2315c.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2315d.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2315e.jpg","http://web3.forest.usf.edu/main/other/severan/images/db/2315f.jpg"
